Sample_ID	N1	N1_spike	RPP30	S2	S2_spike
Plate1-K09	9899	73484	36	3	33
Plate1-K10	4083	33172	23	0	0
Plate1-K11	69185	148836	46	1	12
Plate1-K12	74320	139682	40	0	0
Plate1-K13	107407	98876	32	4	22
Plate1-K14	133659	83910	19	0	0
Plate1-K15	149996	61209	53	16	20
Plate1-K16	4177	865	39	0	0
Plate1-K17	274997	39040	59	30	5
Plate1-K18	261674	30474	43	0	0
Plate1-K19	304822	15064	27	27	3
Plate1-K20	257258	7222	37	1	0
Plate1-K21	312369	4618	82	35	2
Plate1-K22	250816	5262	57	0	0
Plate1-K23	253206	1379	64	32	0
Plate1-K24	330379	2297	43	1	0
Plate1-L01	35	90852	22	0	0
Plate1-L02	340	64908	6	0	0
Plate1-L03	1167	64985	10	0	0
Plate1-L04	48	47208	2	0	0
Plate1-L05	2175	82797	18	0	0
Plate1-L06	538	66019	1	0	0
Plate1-L07	1972	64505	17	0	0
Plate1-L08	1459	69633	1	0	0
Plate1-L09	22719	90468	22	0	0
Plate1-L10	1118	54720	1	0	0
Plate1-L11	19639	20851	19	2	0
Plate1-L12	4666	64669	4	0	1
Plate1-L13	57354	26144	9	0	0
Plate1-L14	13216	37686	3	0	0
Plate1-L15	70039	12024	24	1	0
Plate1-L16	24442	39744	2	0	0
Plate1-L17	104128	7050	19	0	0
Plate1-L18	59260	20583	6	0	0
Plate1-L19	100513	2071	19	0	0
Plate1-L20	67058	4908	2	1	0
Plate1-L21	112790	1009	36	0	0
Plate1-L22	61142	6623	2	1	0
Plate1-L23	210794	1247	37	0	0
Plate1-L24	108732	2254	5	1	0
Plate1-M01	336	34790	76	0	10
Plate1-M02	163	166095	47	0	0
Plate1-M03	135	110038	15	0	23
Plate1-M04	161	173905	9	0	1
Plate1-M05	66	148571	15	1	3
Plate1-M06	82	148869	18	0	1
Plate1-M07	79	146400	54	0	22
Plate1-M08	65	49217	42	0	0
Plate1-M09	121	77630	84	0	23
Plate1-M10	170	168051	58	0	1
Plate1-M11	34	95309	15	0	3
Plate1-M12	49	124840	13	0	0
Plate1-M13	273	193007	52	2	18
Plate1-M14	233	129293	44	1	0
Plate1-M15	15	8944	32	0	14
Plate1-M16	30	82366	24	0	0
Plate1-M17	2868	143466	38	0	18
Plate1-M18	4954	157301	39	0	1
Plate1-M19	3871	162842	117	0	10
Plate1-M20	5728	178738	100	0	0
Plate1-M21	13	4709	22	0	15
Plate1-M22	38	148919	15	0	0
Plate1-M23	559	185639	82	0	5
Plate1-M24	521	206718	79	0	0
Plate1-N01	78	85693	26	0	0
Plate1-N02	33	50231	3	0	0
Plate1-N03	78	82019	5	0	0
Plate1-N04	43	54250	0	0	1
Plate1-N05	30	7789	4	0	0
Plate1-N06	11	58611	0	0	0
Plate1-N07	74	108658	21	0	0
Plate1-N08	21	50632	2	0	0
Plate1-N09	101	112105	30	0	0
Plate1-N10	49	71212	3	0	0
Plate1-N11	28	109417	9	0	0
Plate1-N12	12	69694	1	0	0
Plate1-N13	186	139960	20	0	0
Plate1-N14	73	27064	2	0	0
Plate1-N15	26	97731	13	0	0
Plate1-N16	5	64600	1	0	0
Plate1-N17	41	87030	20	0	0
Plate1-N18	18	58245	0	0	1
Plate1-N19	215	101460	90	0	1
Plate1-N20	419	64692	11	0	0
Plate1-N21	20	67755	9	0	0
Plate1-N22	231	55353	2	0	0
Plate1-N23	276	118902	31	0	0
Plate1-N24	101	76935	4	0	1
Plate1-O01	6865	122385	270	0	27
Plate1-O02	12239	81910	190	0	0
Plate1-O03	56	167818	41	0	17
Plate1-O04	61	159659	33	0	0
Plate1-O05	248	42112	5	0	0
Plate1-O06	34	161308	9	0	0
Plate1-O07	1507	121128	18	2	12
Plate1-O08	6117	188451	20	1	0
Plate1-O09	243	7796	9	1	0
Plate1-O10	9025	147846	18	0	0
Plate1-O11	27628	126849	149	4	15
Plate1-O12	30725	154465	80	0	0
Plate1-O13	47694	162009	48	7	6
Plate1-O14	66724	127732	41	0	0
Plate1-O15	178282	95748	61	17	10
Plate1-O16	178415	98520	53	0	0
Plate1-O17	249375	59162	51	24	2
Plate1-O18	167296	19569	41	0	0
Plate1-O19	267598	34067	69	40	0
Plate1-O20	273990	13124	52	1	0
Plate1-O21	354380	20082	48	21	1
Plate1-O22	300545	8280	43	0	0
